"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"
"ASV48"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Steroidobacterales"	"Steroidobacteraceae"	"Steroidobacter"
"ASV49"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Thermomonas"
"ASV50"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus_Udaeobacter"
"ASV51"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhodomicrobiaceae"	"Rhodomicrobium"
"ASV52"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
"ASV53"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Haliangiaceae"	"Haliangium"
"ASV54"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
"ASV55"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Chthoniobacterales"	"Xiphinematobacteraceae"	"Candidatus_Xiphinematobacter"
"ASV56"	"Bacteria"	"Chloroflexi"	"KD4-96"	NA	NA	NA
"ASV57"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Chitinophagales"	"Chitinophagaceae"	"Terrimonas"
"ASV58"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
"ASV59"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	NA
"ASV60"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus_Udaeobacter"
"ASV61"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	NA	NA
"ASV62"	"Archaea"	"Thaumarchaeota"	"Nitrososphaeria"	"Nitrososphaerales"	"Nitrososphaeraceae"	NA
"ASV63"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA
"ASV64"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"67-14"	NA
"ASV65"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
"ASV66"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
"ASV67"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
"ASV68"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"
"ASV69"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus_Udaeobacter"
"ASV70"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
"ASV71"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Paenisporosarcina"
"ASV72"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Bacillus"
"ASV73"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"MBNT15"	NA	NA
"ASV74"	"Bacteria"	"Acidobacteria"	"Blastocatellia_(Subgroup_4)"	"11-24"	NA	NA
"ASV75"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"67-14"	NA
"ASV76"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
"ASV77"	"Bacteria"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	NA	NA
"ASV78"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
"ASV79"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycobacterium"
"ASV80"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Nitrosomonadaceae"	"Ellin6067"
"ASV81"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
"ASV82"	"Bacteria"	"Acidobacteria"	"Blastocatellia_(Subgroup_4)"	"Blastocatellales"	"Blastocatellaceae"	NA
"ASV83"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA
"ASV84"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	NA	NA
"ASV85"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Micrococcaceae"	"Pseudarthrobacter"
"ASV86"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Microscillaceae"	"Ohtaekwangia"
"ASV87"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Lechevalieria"
"ASV88"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Bradyrhizobium"
"ASV89"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Nitrospira"
"ASV90"	"Bacteria"	"Latescibacteria"	NA	NA	NA	NA
"ASV91"	"Bacteria"	"Acidobacteria"	"Blastocatellia_(Subgroup_4)"	"Blastocatellales"	"Blastocatellaceae"	NA
"ASV92"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
"ASV93"	"Bacteria"	"Rokubacteria"	"NC10"	"Rokubacteriales"	NA	NA
"ASV94"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"
"ASV95"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Pseudolabrys"
"ASV96"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus_Udaeobacter"
"ASV97"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
"ASV98"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Chthoniobacterales"	"Chthoniobacteraceae"	"Candidatus_Udaeobacter"
"ASV99"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Kribbella"
"ASV100"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Pedosphaerales"	"Pedosphaeraceae"	NA
"ASV101"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	NA
"ASV102"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"
"ASV103"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"
"ASV104"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Luteimonas"
"ASV105"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Frankiales"	"Acidothermaceae"	"Acidothermus"
"ASV106"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"SC-I-84"	NA
"ASV107"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"CCD24"	NA	NA
"ASV108"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
"ASV109"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Pseudomonadaceae"	"Pseudomonas"
"ASV110"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Nocardioidaceae"	"Nocardioides"
"ASV111"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria_Incertae_Sedis"	"Unknown_Family"	"Acidibacter"
"ASV112"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
"ASV113"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	"Bradyrhizobium"
"ASV114"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
"ASV115"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Rubritaleaceae"	"Luteolibacter"
"ASV116"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Devosiaceae"	"Devosia"
"ASV117"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
"ASV118"	"Bacteria"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	NA
"ASV119"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Burkholderiaceae"	"Ramlibacter"
"ASV120"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"67-14"	NA
"ASV121"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	NA	NA	NA
"ASV122"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Rhizobiaceae"	"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ASV123"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA
"ASV124"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Archangiaceae"	"Archangium"
"ASV125"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Ellin6055"
"ASV126"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"Solirubrobacteraceae"	"Conexibacter"
"ASV127"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"A21b"	NA
"ASV128"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Pedosphaerales"	"Pedosphaeraceae"	NA
"ASV129"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA
"ASV130"	"Bacteria"	"Planctomycetes"	"Planctomycetacia"	"Isosphaerales"	"Isosphaeraceae"	"Singulisphaera"
"ASV131"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
"ASV132"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
"ASV133"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Xanthobacteraceae"	NA
"ASV134"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Steroidobacterales"	"Steroidobacteraceae"	NA
"ASV135"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"PLTA13"	NA	NA
"ASV136"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methyloligellaceae"	NA
"ASV137"	"Bacteria"	"Acidobacteria"	"Subgroup_6"	NA	NA	NA
"ASV138"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Qipengyuania"
"ASV139"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
"ASV140"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Betaproteobacteriales"	"Nitrosomonadaceae"	"mle1-7"
"ASV141"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
"ASV142"	"Bacteria"	"Actinobacteria"	"Thermoleophilia"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
"ASV143"	"Bacteria"	"Acidobacteria"	"Subgroup_11"	NA	NA	NA
"ASV144"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Glycomycetales"	"Glycomycetaceae"	"Glycomyces"
"ASV145"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"ASV146"	"Bacteria"	"Acidobacteria"	"Blastocatellia_(Subgroup_4)"	"Pyrinomonadales"	"Pyrinomonadaceae"	"RB41"
"ASV147"	"Bacteria"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	NA
"ASV148"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingomonas"
"ASV149"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Microscillaceae"	NA
"ASV150"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Cytophagales"	"Microscillaceae"	"Chryseolinea"
